name;region;population;lat;lon
г. Обь;Новосибирская область;30369;54.9945378;82.6937661
станица Староминская;Краснодарский край;30362;46.5331093;39.0535727
пгт Томилино рп;Московская область;30306;55.663107;37.949918
г. Сердобск;Пензенская область;30220;52.4697777;44.2123029
г. Богданович;Свердловская область;30142;56.7764214;62.0462888
г. Нижнеудинск;Иркутская область;29995;54.896942;99.031408
г. Электрогорск;Московская область;29982;55.8778372;38.7805887
г. Луховицы;Московская область;29889;54.7659596;39.2706433
г. Вятские Поляны;Кировская область;29742;56.2285162;51.0616058
г. Фурманов;Ивановская область;29715;57.2537548;41.1054731
г. Борзя;Забайкальский край;29596;50.3877136;116.5235118
г. Богородицк;Тульская область;29560;53.7700594;38.1225087
станица Павловская;Краснодарский край;29514;46.122016;39.781416
г. Гусев;Калининградская область;29234;54.5915197;22.1942896
г. Муравленко;Ямало-Ненецкий автономный округ;29233;63.795443;74.494826
г. Слободской;Кировская область;29148;58.7312106;50.1669806
г. Кандалакша;Мурманская область;29138;67.1566641;32.4142961
пгт Краснообск рп;Новосибирская область;29086;54.921237;82.991197
пгт Дрожжино рп;Московская область;29072;55.5277293;37.5937701
г. Балабаново;Калужская область;29029;55.1774068;36.656839
г. Лосино-Петровский;Московская область;29000;55.869566;38.202852
г. Артемовский;Свердловская область;28943;57.3384593;61.8945883
г. Добрянка;Пермский край;28782;58.542592;56.293958
г. Маркс;Саратовская область;28749;51.7133247;46.7400877
г. Великий Устюг;Вологодская область;28670;60.7602824;46.3053948
г. Городец;Нижегородская область;28660;56.644865;43.4722664
г. Тында;Амурская область;28625;55.1546593;124.7468001
г. Бахчисарай;Республика Крым;28609;44.751299;33.8750748
г. Сорочинск;Оренбургская область;28478;52.4266473;53.1541824
г. Касимов;Рязанская область;28443;54.9373071;41.3913313
г. Кудымкар;Пермский край;28293;59.0168409;54.6573613
пгт Власиха;Московская область;28240;55.680815;37.1902369
пгт Разумное;Белгородская область;28192;50.533611;36.689562
г. Ростов;Ярославская область;28122;57.2050397;39.4378513
г. Заречный;Свердловская область;28112;56.8103256;61.3380277
г. Киров;Калужская область;28097;54.0789799;34.3076309
город Семилуки;Воронежская область;27938;51.6951946;39.0188991
г. Славгород;Алтайский край;27900;52.999413;78.6458451
г. Аша;Челябинская область;27890;54.990582;57.2784381
пгт Энем;Республика Адыгея;27717;44.9263995;38.9107709
г. Барабинск;Новосибирская область;27648;55.3515169;78.3464604
г. Еманжелинск;Челябинская область;27632;54.7554485;61.3243638
посёлок Придорожный;Самарская область;27515;53.0860041;50.1587223
пгт Иноземцево кп;Ставропольский край;27500;44.0970899;43.0894193
г. Старая Русса;Новгородская область;27487;57.9907473;31.355452
г. Дивногорск;Красноярский край;27477;55.9577356;92.380129
г. Похвистнево;Самарская область;27333;53.6497658;52.1234466
г. Киржач;Владимирская область;27318;56.1486461;38.8635967
пгт Красково дп;Московская область;27306;55.65879;37.9885476
г. Кушва;Свердловская область;27306;58.2825138;59.7647615
г. Мирный;Архангельская область;27262;62.764551;40.336094
г. Кировск;Ленинградская область;27238;59.875234;30.9815172
село Экажево;Республика Ингушетия;27224;43.2082923;44.8190051
г. Топки;Кемеровская область;27158;55.2765207;85.6152094
г. Камышлов;Свердловская область;27117;56.8464908;62.7120309
г. Карталы;Челябинская область;27103;53.0537382;60.6477347
г. Заводоуковск;Тюменская область;27100;56.5028398;66.5513555
деревня Мисайлово;Московская область;27093;55.5639995;37.8255811
деревня Путилково;Московская область;27081;55.865253;37.392526
станица Северская;Краснодарский край;26973;44.8562413;38.6959282
г. Тара;Омская область;26878;56.9159295;74.3648797
село Засечное;Пензенская область;26878;53.105904;45.0717034
г. Шумерля;Чувашская Республика;26873;55.5229338;46.3752894
г. Балтийск;Калининградская область;26796;54.6513858;19.9140642
г. Новоалександровск;Ставропольский край;26767;45.4932983;41.2153595
г. Гурьевск;Калининградская область;26760;54.7705454;20.6039948
г. Котовск;Тамбовская область;26694;52.5923425;41.5102238
село Кочубеевское;Ставропольский край;26645;44.6907487;41.8242914
г. Майский;Кабардино-Балкарская Республика;26632;43.6283265;44.051839
г. Кувандык;Оренбургская область;26596;51.4785827;57.3610986
г. Гагарин;Смоленская область;26500;55.5526733;34.9950319
г. Красноармейск;Московская область;26492;56.105426;38.140838
г. Кимовск;Тульская область;26475;53.9698013;38.538127
г. Волоколамск;Московская область;26389;56.0356464;35.958479
г. Петровск;Саратовская область;26319;52.3094724;45.3851898
г. Соль-Илецк;Оренбургская область;26149;51.1634754;54.9895396
г. Ипатово;Ставропольский край;26122;45.7181195;42.8970759
г. Костомукша;Республика Карелия;26048;64.5890912;30.6015362
пгт Малаховка рп;Московская область;25989;55.6452616;38.0042385
г. Удомля;Тверская область;25950;57.8787641;35.0166208
г. Янаул;Республика Башкортостан;25908;56.2649073;54.9297772
г. Карпинск;Свердловская область;25879;59.766559;60.0012125
г. Кондопога;Республика Карелия;25851;62.2059903;34.2681816
г. Коммунар;Ленинградская область;25793;59.6215741;30.3935534
г. Отрадное;Ленинградская область;25706;59.7726485;30.798845
г. Холмск;Сахалинская область;25677;47.0408656;142.0416132
станица Тбилисская;Краснодарский край;25650;45.3644521;40.2016871
г. Полысаево;Кемеровская область;25631;54.6054908;86.2809963
г. Красноперекопск;Республика Крым;25569;45.9536596;33.792071
г. Киреевск;Тульская область;25560;53.9320407;37.9219941
пгт Мостовской;Краснодарский край;25548;44.4144395;40.790292
г. Лабытнанги;Ямало-Ненецкий автономный округ;25501;66.6593565;66.3881811
село Александровское;Ставропольский край;25479;44.7105748;43.0049484
город Десногорск;Смоленская область;25414;54.1463618;33.2834089
г. Алейск;Алтайский край;25380;52.4922482;82.7795177
г. Десногорск;Смоленская область;25345;54.1463618;33.2834089
г. Дятьково;Брянская область;25255;53.5958143;34.355106
г. Скопин;Рязанская область;25238;53.8235282;39.5493392
пгт Калининец рп;Московская область;25082;55.559738;36.981914
г. Семенов;Нижегородская область;25075;56.7890706;44.4902872
пгт Ильский;Краснодарский край;24932;44.804549;38.546089
г. Асино;Томская область;24913;56.990811;86.1764966
г. Карасук;Новосибирская область;24890;53.7343642;78.0422879
г. Кировск;Мурманская область;24857;67.6151587;33.6636568
станица Ессентукская;Ставропольский край;24710;44.0267307;42.8764379
пгт Октябрьский рп;Московская область;24704;55.6110724;37.9737423
г. Знаменск;Астраханская область;24628;48.5866454;45.7369007
г. Гусиноозерск;Республика Бурятия;24451;51.2865987;106.5229836
пгт Пойковский;Ханты-Мансийский автономный округ — Югра;24440;60.996548;71.902431
г. Североуральск;Свердловская область;24428;60.1533388;59.952553
г. Бутурлиновка;Воронежская область;24397;50.8312775;40.5977424
г. Озёры;Московская область;24359;54.8540209;38.5598706
г. Саки;Республика Крым;24285;45.13433;33.6032255
г. Калач-на-Дону;Волгоградская область;24277;48.6889101;43.5307585
г. Унеча;Брянская область;24274;52.8461971;32.6757398
г. Морозовск;Ростовская область;24258;48.351132;41.8307844
г. Северобайкальск;Республика Бурятия;24233;55.6355591;109.3361645
г. Советская Гавань;Хабаровский край;24231;48.9663668;140.2852088
станица Полтавская;Краснодарский край;24164;45.3654401;38.2109117
г. Родники;Ивановская область;24101;57.1024811;41.7298234
г. Зерноград;Ростовская область;24076;46.849613;40.3128993
пгт Северный;Белгородская область;24070;50.6774988;36.5607698
деревня Новое Девяткино;Ленинградская область;23988;60.0572998;30.4762703
посёлок Тельмана;Ленинградская область;23986;59.725444;30.612106
г. Карачаевск;Карачаево-Черкесская Республика;23867;43.7731804;41.9144084
станица Елизаветинская;Краснодарский край;23841;45.0484348;38.7999276
г. Строитель;Белгородская область;23780;50.785172;36.486998
г. Татарск;Новосибирская область;23711;55.2144722;75.9740764
г. Медногорск;Оренбургская область;23693;51.4038655;57.5831571
пгт Федоровский;Ханты-Мансийский автономный округ — Югра;23614;61.6484245;73.488652
г. Дальнереченск;Приморский край;23613;45.9308807;133.7316844
пгт Афипский;Краснодарский край;23592;44.9034044;38.8411512
г. Уварово;Тамбовская область;23584;51.983084;42.261
г. Сегежа;Республика Карелия;23543;63.7437691;34.3126737
г Курчалой;Чеченская Республика;23425;43.2045354;46.0889297
г. Нарьян-Мар;Ненецкий автономный округ;23399;67.6379742;53.0069529
г. Губаха;Пермский край;23397;58.8370347;57.5544775
г. Среднеуральск;Свердловская область;23344;56.9919113;60.4771159
г. Кубинка;Московская область;23146;55.6790296;37.2635177
г. Нефтекумск;Ставропольский край;23137;44.7545311;44.9865999
станица Троицкая;Республика Ингушетия;23078;43.3060175;44.9893927
пгт Свердловский рп;Московская область;23058;55.9032059;38.1361082
станица Отрадная;Краснодарский край;23041;44.39317;41.5156681
г. Верхний Уфалей;Челябинская область;22981;56.0487398;60.2320146
пгт Городище рп;Волгоградская область;22905;48.8096322;44.4761656
г. Старая Купавна;Московская область;22898;55.810648;38.175624
г. Менделеевск;Республика Татарстан;22875;55.8951887;52.3143634
г. Железноводск;Ставропольский край;22863;44.1320536;43.0304695
г. Голицыно;Московская область;22733;55.6189919;36.9856491
г. Аткарск;Саратовская область;22709;51.8737167;45.000324
пгт Тучково рп;Московская область;22657;55.6007848;36.4718788
рп Чишмы;Республика Башкортостан;22597;54.5892603;55.3803504
г. Лермонтов;Ставропольский край;22444;44.1053341;42.9731493
посёлок Бугры;Ленинградская область;22428;60.0700161;30.3997764
город Павловск;Воронежская область;22384;50.4533503;40.1369424
г. Тайга;Кемеровская область;22375;56.1723887;85.4268959
г. Никольское;Ленинградская область;22355;59.7042138;30.7874065
г. Верещагино;Пермский край;22239;58.0798499;54.6579923
г. Сосногорск;Республика Коми;22189;63.599118;53.8762442
г. Гурьевск;Кемеровская область;22134;54.2859162;85.9477116
г. Хадыженск;Краснодарский край;22094;44.412253;39.5320316
г. Невьянск;Свердловская область;22061;57.4912147;60.218324
г. Тырныауз;Кабардино-Балкарская Республика;22056;43.3981998;42.9214143
г. Котельниково;Волгоградская область;22016;47.6310339;43.1330384
г. Таштагол;Кемеровская область;21980;52.7594115;87.8476574
г. Давлеканово;Республика Башкортостан;21834;54.222692;55.0311854
г. Бронницы;Московская область;21831;55.4254542;38.264161
г. Вилючинск;Камчатский край;21774;52.9302624;158.4057425
г. Калтан;Кемеровская область;21752;53.521076;87.2771909
пгт Медведево;Республика Марий Эл;21752;56.6332603;47.8032407
г. Вихоревка;Иркутская область;21719;56.1208112;101.1704184
г. Семикаракорск;Ростовская область;21719;47.517792;40.811485
г. Лысково;Нижегородская область;21657;56.0262601;45.0357974
г. Сасово;Рязанская область;21628;54.3508047;41.9117508
г. Бавлы;Республика Татарстан;21628;54.4063524;53.2458119
г. Железногорск-Илимский;Иркутская область;21621;56.5847582;104.1142358
г. Вельск;Архангельская область;21613;61.0658321;42.1032464
г. Алдан;Республика Саха (Якутия);21590;58.6095359;125.3817685
пгт Стройкерамика;Самарская область;21567;53.2766484;50.3870415
г. Алагир;Республика Северная Осетия — Алания;21550;43.0416623;44.2197807
пгт Ахтырский;Краснодарский край;21515;44.8503138;38.2998264
г. Красноуральск;Свердловская область;21507;58.3486753;60.0408929
г. Бежецк;Тверская область;21466;57.7859527;36.6905192
г. Усть-Катав;Челябинская область;21439;54.9260247;58.1528932
г. Оленегорск;Мурманская область;21438;68.1420962;33.2669298
г. Рошаль;Московская область;21401;55.6632087;39.8656345
г. Ленск;Республика Саха (Якутия);21392;60.7276227;114.9548502
пгт Излучинск;Ханты-Мансийский автономный округ — Югра;21389;60.9530651;76.891202
г. Калачинск;Омская область;21378;55.059708;74.5655042
г. Красноармейск;Саратовская область;21350;51.0235479;45.6951366
г. Светлый;Калининградская область;21114;54.6773492;20.1356707
г. Рыбное;Рязанская область;21069;54.7256308;39.5135902
г. Котово;Волгоградская область;21028;50.3205819;44.803057
г. Остров;Псковская область;20923;57.3452065;28.3437983
г. Бобров;Воронежская область;20871;51.0902207;40.031849
пгт Кольцово рп;Новосибирская область;20862;54.939754;83.189226
село Дыгулыбгей;Кабардино-Балкарская Республика;20852;43.6605157;43.5399799
г. Колпашево;Томская область;20824;58.3114151;82.9027717
г. Новопавловск;Ставропольский край;20781;43.957372;43.631908
г. Тогучин;Новосибирская область;20766;55.2251228;84.4103609
г. Чегем;Кабардино-Балкарская Республика;20736;43.567119;43.5866245
г. Зарайск;Московская область;20736;54.7624731;38.8851435
село Карабудахкент;Республика Дагестан;20710;42.7101719;47.5652001
г. Октябрьск;Самарская область;20703;53.1641278;48.6707034
г. Армянск;Республика Крым;20692;46.1058917;33.6911918
г. Ряжск;Рязанская область;20634;53.7068457;40.0521364
г. Сысерть;Свердловская область;20634;56.5005302;60.8190383
г. Буй;Костромская область;20564;58.4733865;41.5306164
пгт Безенчук;Самарская область;20516;52.9844016;49.4332576
г. Исилькуль;Омская область;20515;54.9095226;71.2815165
г. Хотьково;Московская область;20466;56.2515987;37.9394556
г. Шарья;Костромская область;20439;58.3760015;45.4060912
г. Нижний Ломов;Пензенская область;20421;53.5301144;43.6730824
г. Арск;Республика Татарстан;20421;56.0913566;49.8769472
г. Пикалево;Ленинградская область;20388;59.5131477;34.1772986
г. Оха;Сахалинская область;20357;53.5868177;142.9412704
пгт Монино рп;Московская область;20313;55.8393791;38.1953929
г. Инта;Республика Коми;20271;66.0367224;60.1153645
г. Сергач;Нижегородская область;20256;55.5200817;45.4813786
г. Бологое;Тверская область;20234;57.8855456;34.0537078
г. Котельнич;Кировская область;20144;58.3034526;48.3475879
г. Лебедянь;Липецкая область;20049;53.0155445;39.143535
станица Зеленчукская;Карачаево-Черкесская Республика;20009;43.8608392;41.5827377
г. Белоярский;Ханты-Мансийский автономный округ — Югра;19994;63.7120526;66.6773163
г. Агрыз;Республика Татарстан;19991;56.5234282;52.9943111
г. Нерехта;Костромская область;19977;57.4543591;40.5725027
пгт Боровский рп;Тюменская область;19972;57.0437279;65.7219998
г. Буинск;Республика Татарстан;19968;54.964071;48.2901712
станица Выселки;Краснодарский край;19955;45.5801087;39.6553854
г. Терек;Кабардино-Балкарская Республика;19948;43.4837944;44.140333
село Новая Усмань (часть 2);Воронежская область;19939;51.6440564;39.4129162
г. Черепаново;Новосибирская область;19900;54.2206618;83.3724671
г. Тарко-Сале;Ямало-Ненецкий автономный округ;19900;64.9117423;77.7610229
г. Никольск;Пензенская область;19873;53.7138244;46.0799725
г. Куровское;Московская область;19857;55.5790488;38.920837
г. Ковылкино;Республика Мордовия;19793;54.0391206;43.9191408
г. Козьмодемьянск;Республика Марий Эл;19731;56.3333702;46.5465866
г. Данков;Липецкая область;19726;53.2576888;39.1456386
г. Фокино;Приморский край;19711;42.9707585;132.4110104
пгт Каа-Хем;Республика Тыва;19686;51.6974519;94.559472
г. Усмань;Липецкая область;19662;52.0444077;39.7263813
посёлок Строитель;Тамбовская область;19647;52.6512001;41.4310661
г. Омутнинск;Кировская область;19629;58.6698906;52.189375
рп Приютово;Республика Башкортостан;19595;53.8951581;53.9369819
село Чалтырь;Ростовская область;19583;47.2826729;39.4992447
г. Пущино;Московская область;19578;54.8351813;37.6265045
г. Дудинка;Красноярский край;19556;69.4032072;86.1909075
поселок Трудовое;Приморский край;19543;43.3002872;132.0632507
г. Черноголовка;Московская область;19530;56.0099863;38.3792964
г. Оса;Пермский край;19523;57.2889708;55.468868
пгт Кокошкино дп;Москва;19490;55.598467;37.167633
пгт Промышленная;Кемеровская область;19484;54.916573;85.6376222
пгт Ленинкент;Республика Дагестан;19438;42.9703441;47.3535191
поселок Ойсхара;Чеченская Республика;19415;43.2627893;46.2498555
г. Зея;Амурская область;19414;53.7340347;127.2657094
станица Суворовская;Ставропольский край;19378;44.1975139;42.6499527
г. Зверево;Ростовская область;19353;48.0434167;40.1265252
поселок Игра;Удмуртская Республика;19319;57.5401354;53.0861913
село Гойты;Чеченская Республика;19198;43.1609736;45.6212637
станица Брюховецкая;Краснодарский край;19154;45.8020888;38.9971898
станица Незлобная;Ставропольский край;19068;44.1168985;43.408563
пгт Березовка;Красноярский край;19059;56.037108;93.1266
поселок Ува;Удмуртская Республика;19057;56.9820545;52.1873031
г. Арамиль;Свердловская область;19013;56.6915504;60.8441135
г. Пролетарск;Ростовская область;18983;46.7038132;41.7276002
г. Ардон;Республика Северная Осетия — Алания;18956;43.1755904;44.2956828
г. Лодейное Поле;Ленинградская область;18905;60.7320844;33.5522164
посёлок Саракташ;Оренбургская область;18789;51.7830951;56.3652582
г. Приозерск;Ленинградская область;18777;61.03598;30.115586
станица Холмская;Краснодарский край;18699;44.848128;38.3892456
г. Кировград;Свердловская область;18698;57.4298874;60.0624019
село Раевский;Республика Башкортостан;18698;54.0650359;54.932837
г. Николаевск-на-Амуре;Хабаровский край;18631;53.1461923;140.7110577
г. Нелидово;Тверская область;18603;56.223391;32.7766208
пгт Свободы рп;Ставропольский край;18582;44.0248348;43.0514483
станица Новопокровская;Краснодарский край;18559;45.9538509;40.7070143
село Чигири;Амурская область;18538;50.3391503;127.5076851
г. Харабали;Астраханская область;18514;47.4089236;47.2525264
г. Няндома;Архангельская область;18473;61.6654144;40.2063093
село Автуры;Чеченская Республика;18446;43.163267;46.0031899
г. Нижняя Тура;Свердловская область;18392;58.6310449;59.8520228
г. Пласт;Челябинская область;18379;54.3691735;60.815252
г. Новый Оскол;Белгородская область;18359;50.764439;37.863064
пгт Тарки;Республика Дагестан;18233;42.9445024;47.4957949
г. Суровикино;Волгоградская область;18227;48.6189098;42.8542126
г. Боготол;Красноярский край;18206;56.2098683;89.5300867
рп Южный;Алтайский край;18098;53.2513304;83.6947313
г. Ершов;Саратовская область;18095;51.35079;48.2763191
г. Нефтегорск;Самарская область;18076;52.79725;51.1638245
пгт Тальменка рп;Алтайский край;18070;53.8172662;83.5691716
г. Слюдянка;Иркутская область;18058;51.6563035;103.7186495
село Бабаюрт;Республика Дагестан;18039;43.6011227;46.7793044
станица Нестеровская;Республика Ингушетия;17981;43.2381741;45.0491681
г. Электроугли;Московская область;17944;55.7170793;38.219367
г. Кукмор;Республика Татарстан;17886;56.1860939;50.8971592
г. Кяхта;Республика Бурятия;17877;50.3466144;106.453365
пгт Удельная дп;Московская область;17846;55.6349087;38.049353
г. Судак;Республика Крым;17834;44.8505071;34.9761502
г. Баймак;Республика Башкортостан;17833;52.5913527;58.3111821
пгт Линево рп;Новосибирская область;17779;54.4570315;83.3815692
посёлок завода Мосрентген;Москва;17758;55.620947;37.473815
г. Покров;Владимирская область;17747;55.9167157;39.1733602
село Высокая Гора;Республика Татарстан;17736;55.912126;49.312767
г. Стародуб;Брянская область;17687;52.5853129;32.7603416
г. Жуковка;Брянская область;17628;53.5340871;33.7302336
г. Шахунья;Нижегородская область;17626;57.6763123;46.6128512
г. Калач;Воронежская область;17624;50.4240228;41.0162465
г. Суворов;Тульская область;17598;54.122088;36.490348
посёлок ВНИИССОК;Московская область;17597;55.6569429;37.2117743
г. Радужный;Владимирская область;17569;55.9960812;40.3322223
г. Льгов;Курская область;17557;51.65971;35.261144
г. Енисейск;Красноярский край;17537;58.4485678;92.1650748
село Белая Глина;Краснодарский край;17470;46.0736706;40.8713114
г. Карачев;Брянская область;17449;53.1296862;34.9887384
г. Белогорск;Республика Крым;17445;45.0570816;34.599941
г. Собинка;Владимирская область;17444;55.9938217;40.0178919
пгт Лучегорск;Приморский край;17437;46.438443;134.289358
станица Медведовская;Краснодарский край;17404;45.4491448;39.0101617
пгт Ванино;Хабаровский край;17326;49.0909744;140.2563927
г. Талдом;Московская область;17317;56.7308601;37.5276018
пгт Васильево;Республика Татарстан;17286;55.8369276;48.7040265
г. Юрьев-Польский;Владимирская область;17276;56.4936868;39.6680526
г. Абдулино;Оренбургская область;17274;53.6778052;53.6473384
станица Старощербиновская;Краснодарский край;17251;46.6297567;38.6673969
г. Константиновск;Ростовская область;17207;47.5773447;41.0967357
село Бачи-Юрт;Чеченская Республика;17173;43.2209854;46.194994
г. Куса;Челябинская область;17136;55.3386556;59.4386134
пгт Коченево рп;Новосибирская область;17053;55.019014;82.2060574
село Осиново;Республика Татарстан;16991;55.8775039;48.8897995
село Нижнее Казанище;Республика Дагестан;16984;42.760984;47.161627
г. Онега;Архангельская область;16947;63.9162842;38.0805165
г. Новомичуринск;Рязанская область;16900;54.037654;39.7466785
г. Плавск;Тульская область;16893;53.7095277;37.2862058
село Майма;Республика Алтай;16890;52.0037707;85.8962579
село Цоци-Юрт;Чеченская Республика;16890;43.2426159;46.0018219
пгт Янино-1;Ленинградская область;16886;59.945394;30.5611967
деревня Сапроново;Московская область;16817;55.529323;37.712318
деревня Пыхтино;Москва;16803;55.6209417;37.3002729
село Кантышево;Республика Ингушетия;16783;43.2281058;44.6484198
г. Козельск;Калужская область;16759;54.0348045;35.7806829
село Краснокумское;Ставропольский край;16702;44.1748104;43.4967116
г. Нытва;Пермский край;16675;57.9336576;55.3355911
г. Осташков;Тверская область;16674;57.1457822;33.1116377
село Кинель-Черкассы;Самарская область;16658;53.4640756;51.5193824
г. Зеленоградск;Калининградская область;16625;54.9599261;20.4752742
село Новая Усмань (часть 1);Воронежская область;16601;51.6440564;39.4129162
пгт Шушенское;Красноярский край;16573;53.333753;91.935624
г. Туринск;Свердловская область;16561;58.0394946;63.6981776
г. Краснослободск;Волгоградская область;16545;48.7068501;44.5631832
пгт Агинское;Забайкальский край;16511;51.1036078;114.5378536
г. Нижняя Салда;Свердловская область;16505;58.0749078;60.7025219
г. Шимановск;Амурская область;16488;52.005177;127.7005913
село Плиево;Республика Ингушетия;16440;43.2854671;44.8359413
станица Гостагаевская;Краснодарский край;16438;44.8948984;37.3162896
г. Яровое;Алтайский край;16424;52.9252719;78.5729219
город Поворино;Воронежская область;16417;51.195289;42.2473555
г. Бакал;Челябинская область;16345;54.9406707;58.8051112
г. Инза;Ульяновская область;16293;53.8549261;46.353359
г. Шумиха;Курганская область;16264;55.2281331;63.2901783
пгт Шексна;Вологодская область;16246;59.2361104;38.5112653
г. Бикин;Хабаровский край;16240;46.8185692;134.2550619
г. Жуков;Калужская область;16224;55.0302319;36.7393387
г. Светлогорск;Калининградская область;16207;54.9439073;20.1514612
г. Бокситогорск;Ленинградская область;16185;59.473579;33.8457452
г. Кирсанов;Тамбовская область;16164;52.6506577;42.7284824
пгт Рощино;Ленинградская область;16162;60.2408076;29.6288048
г. Камызяк;Астраханская область;16154;46.1106454;48.0732549
пгт Белый Яр;Ханты-Мансийский автономный округ — Югра;16141;61.260563;73.252472
пгт им. Воровского рп;Московская область;16127;55.7219506;38.3276944
г. Подпорожье;Ленинградская область;16123;60.912778;34.1567171
посёлок Дубовое;Белгородская область;16101;50.5303214;36.5682872
г. Гаврилов-Ям;Ярославская область;16084;57.3091517;39.8544895
село Нартан;Кабардино-Балкарская Республика;16075;43.5054195;43.7016693
г. Покачи;Ханты-Мансийский автономный округ — Югра;16040;61.7422837;75.5940895
г. Поронайск;Сахалинская область;16026;49.2387506;143.1008839
г. Руза;Московская область;16014;55.7015428;36.1959789
г. Мензелинск;Республика Татарстан;16008;55.7270085;53.1005154
деревня Куюки;Республика Татарстан;15977;55.7128384;49.3565309
г. Иланский;Красноярский край;15945;56.2375329;96.0673849
посёлок Орловский;Ростовская область;15942;46.874451;42.05931
село Каякент;Республика Дагестан;15923;42.3862993;47.9054979
г. Сельцо;Брянская область;15906;53.3739073;34.106007
станица Раевская;Краснодарский край;15902;44.836305;37.5496436
село Учкекен;Карачаево-Черкесская Республика;15849;43.9390432;42.5155851
г. Райчихинск;Амурская область;15797;49.7941325;129.411213
г. Ковдор;Мурманская область;15770;67.5662699;30.4741763
деревня Островцы;Московская область;15752;55.5912674;37.9926244
село Супсех;Краснодарский край;15736;44.8948984;37.3162896
г. Кондрово;Калужская область;15734;54.7959825;35.9275777
г. Мамадыш;Республика Татарстан;15726;55.7150947;51.4128069
г. Межгорье;Республика Башкортостан;15697;54.2396811;57.9612743
посёлок Зимовники;Ростовская область;15691;47.1453719;42.4676643
пгт Емельяново;Красноярский край;15649;56.1686437;92.6866976
г. Болотное;Новосибирская область;15644;55.6692803;84.3906602
г. Кизел;Пермский край;15619;59.0512352;57.6471132
пгт Товарково;Калужская область;15606;54.67724;35.942735
село Поселье;Республика Бурятия;15603;51.8057402;107.5376329
станица Анапская;Краснодарский край;15593;44.8948984;37.3162896
пгт Семендер;Республика Дагестан;15565;42.9911799;47.4021163
пгт Кратово дп;Московская область;15565;55.5973949;38.1635172
г. Жирновск;Волгоградская область;15555;50.9769212;44.7857873
посёлок Навля;Брянская область;15536;52.8301087;34.5066338
пгт Заводской;Республика Северная Осетия — Алания;15508;43.1077853;44.6453692
г. Дегтярск;Свердловская область;15497;56.7048;60.0790826
г. Свирск;Иркутская область;15485;53.0838888;103.3413682
пгт Сузун рп;Новосибирская область;15482;53.7891996;82.3161043
г. Ясный;Оренбургская область;15471;51.0368874;59.8742748
село Подстепки;Самарская область;15455;53.5179261;49.1533951
посёлок Зональная Станция;Томская область;15421;56.4268771;85.0227819
станица Варениковская;Краснодарский край;15385;45.1198484;37.6385129
г. Касли;Челябинская область;15383;55.8869825;60.7422584
посёлок Усть-Ордынский;Иркутская область;15364;52.8052189;104.7536738
село Гехи;Чеченская Республика;15352;43.1606137;45.4742778
г. Новоаннинский;Волгоградская область;15351;50.5295721;42.6666194
пгт Анна;Воронежская область;15316;51.489329;40.4242248
"посёлок подсобного хозяйства ""Воскресенское""";Москва;15293;55.5296175;37.4458356
г. Нерчинск;Забайкальский край;15290;51.9594649;116.5853127
село Ахты;Республика Дагестан;15285;41.4591981;47.7495262
г. Магас;Республика Ингушетия;15271;43.1686871;44.8131101
г. Ясногорск;Тульская область;15269;54.4794749;37.689663
г. Новоузенск;Саратовская область;15216;50.4551199;48.1411389
посёлок Знамя Октября;Москва;15199;55.47574;37.538359
село Катар-Юрт;Чеченская Республика;15199;43.1688806;45.370387
пгт Запрудня рп;Московская область;15189;56.5609117;37.4336132
г. Бородино;Красноярский край;15174;55.9053464;94.9022323
пгт Рефтинский;Свердловская область;15164;57.0906513;61.6564554
пгт Софрино рп;Московская область;15136;56.1354141;37.9260237
пгт Вырица;Ленинградская область;15086;59.4172905;30.3469408
г. Рыльск;Курская область;15069;51.568137;34.6802211
г. Купино;Новосибирская область;15065;54.3661206;77.2973372
село Хомутово;Иркутская область;15064;52.4652523;104.3620353
пгт Большие Вязёмы рп;Московская область;15060;55.6291397;37.0053667
г. Петровск-Забайкальский;Забайкальский край;15015;51.2748412;108.8468131
г. Почеп;Брянская область;14991;52.9153976;33.4745131
г. Палласовка;Волгоградская область;14966;50.0502023;46.8804085
г. Калининск;Саратовская область;14949;51.4993043;44.4710883
г. Щигры;Курская область;14927;51.8785827;36.8911689
г. Барыш;Ульяновская область;14924;53.6534032;47.1180501
пгт Чернянка;Белгородская область;14896;50.940917;37.804134
г. Сортавала;Республика Карелия;14867;61.7032224;30.6917823
пгт Грибановский;Воронежская область;14830;51.4564459;41.9799021
станица Васюринская;Краснодарский край;14829;45.1181463;39.4216389
г. Талица;Свердловская область;14808;57.0123163;63.7320587
г. Сухиничи;Калужская область;14806;54.0973084;35.344484
г. Куртамыш;Курганская область;14806;54.9369493;64.4203207
г. Заполярный;Мурманская область;14791;69.4131822;30.7985579
посёлок Развилка;Московская область;14788;55.5910519;37.7529499
г. Дубовка;Волгоградская область;14779;49.0554351;44.8269342
пгт Лесной Городок дп;Московская область;14765;55.636239;37.212612
г. Белокуриха;Алтайский край;14735;51.9961123;84.9839441
г. Цимлянск;Ростовская область;14731;47.6477932;42.092975
село Кулунда;Алтайский край;14708;52.5661304;78.9368917
пгт Новый Городок;Кемеровская область;14691;54.3036194;86.2934438
г. Навашино;Нижегородская область;14664;55.5438077;42.1887675
г. Катав-Ивановск;Челябинская область;14663;54.7520677;58.1984888
пгт Ильинский рп;Московская область;14645;55.6202604;38.1055975
